Time (UTC+03:00),Clicks,Impressions,CTR,Position
2026-01-26T01:00:00,1,94,1.06%,8.9
2026-01-26T02:00:00,0,96,0%,10.1
2026-01-26T03:00:00,1,120,0.83%,17.8
2026-01-26T04:00:00,1,117,0.85%,13.7
2026-01-26T05:00:00,0,133,0%,10.1
2026-01-26T06:00:00,0,136,0%,10.3
2026-01-26T07:00:00,0,136,0%,10.3
2026-01-26T08:00:00,0,179,0%,10.8
2026-01-26T09:00:00,0,176,0%,10.7
2026-01-26T10:00:00,3,263,1.14%,14.7
2026-01-26T11:00:00,0,234,0%,9.4
2026-01-26T12:00:00,1,288,0.35%,9.9
2026-01-26T13:00:00,1,252,0.4%,9.9
2026-01-26T14:00:00,1,333,0.3%,10.8
2026-01-26T15:00:00,0,289,0%,9.4
2026-01-26T16:00:00,0,362,0%,9.8
2026-01-26T17:00:00,0,377,0%,10.4
2026-01-26T18:00:00,1,406,0.25%,9.7
2026-01-26T19:00:00,2,427,0.47%,10.1
2026-01-26T20:00:00,1,382,0.26%,9.9
2026-01-26T21:00:00,0,311,0%,9.3
2026-01-26T22:00:00,3,192,1.56%,9.2
2026-01-26T23:00:00,2,90,2.22%,8.5
2026-01-27T00:00:00,0,5,0%,6.8
