Country,Clicks,Impressions,CTR,Position
India,5,2002,0.25%,9.09
United States,2,834,0.24%,17.19
United Kingdom,2,116,1.72%,11.53
Kenya,2,29,6.9%,6.59
Bangladesh,1,231,0.43%,8.91
South Africa,1,57,1.75%,8.23
Netherlands,1,49,2.04%,9.06
Iran,1,26,3.85%,6.73
Cambodia,1,9,11.11%,7.22
Bahamas,1,3,33.33%,8.67
Namibia,1,1,100%,12
Philippines,0,555,0%,8.43
Pakistan,0,121,0%,8.07
Canada,0,112,0%,15.51
Indonesia,0,77,0%,7.45
Australia,0,63,0%,11.54
Malaysia,0,48,0%,8.15
Egypt,0,47,0%,7.64
Nigeria,0,46,0%,9.26
Sweden,0,36,0%,12.39
Germany,0,34,0%,8.41
Turkey,0,30,0%,9.47
Saudi Arabia,0,30,0%,12.07
United Arab Emirates,0,29,0%,8.1
Finland,0,27,0%,8.07
Thailand,0,26,0%,14.69
Nepal,0,25,0%,7.4
France,0,24,0%,8.21
Singapore,0,23,0%,8.26
Norway,0,22,0%,7.95
Belgium,0,22,0%,8.36
Romania,0,22,0%,10.73
Ghana,0,21,0%,6.9
New Zealand,0,21,0%,7.43
Ireland,0,20,0%,7.5
Vietnam,0,20,0%,13.9
Austria,0,17,0%,6.88
South Korea,0,17,0%,7.41
Denmark,0,17,0%,8.47
Iraq,0,16,0%,8.81
Switzerland,0,16,0%,8.88
Hungary,0,15,0%,7.6
Czechia,0,15,0%,8.13
Spain,0,15,0%,17.4
Serbia,0,14,0%,7.64
Mexico,0,14,0%,8.64
Italy,0,14,0%,15.5
Uganda,0,13,0%,7.69
Jamaica,0,13,0%,7.92
Lithuania,0,13,0%,7.92
Greece,0,12,0%,7.33
Brazil,0,12,0%,12
Unknown Region,0,11,0%,7.91
Morocco,0,11,0%,8.36
Russia,0,11,0%,10.18
Oman,0,11,0%,17.64
Hong Kong,0,10,0%,8.1
Japan,0,10,0%,9.9
Poland,0,10,0%,12
Myanmar (Burma),0,9,0%,6.89
Portugal,0,9,0%,11.22
Israel,0,8,0%,7
Bulgaria,0,8,0%,9
Colombia,0,8,0%,9.25
Algeria,0,8,0%,10
Croatia,0,7,0%,8
Syria,0,7,0%,8.71
Slovakia,0,7,0%,9.14
Kuwait,0,6,0%,7.67
Slovenia,0,6,0%,8.33
Argentina,0,6,0%,9.17
Costa Rica,0,5,0%,5.2
Zambia,0,5,0%,6.6
Tunisia,0,5,0%,7
Sri Lanka,0,5,0%,9.4
Puerto Rico,0,4,0%,5.75
Bhutan,0,4,0%,6.5
Mongolia,0,4,0%,6.5
Estonia,0,4,0%,7.25
Azerbaijan,0,4,0%,8
Macedonia,0,4,0%,8
Taiwan,0,4,0%,8.25
Cyprus,0,4,0%,8.5
Ukraine,0,4,0%,13.75
Trinidad & Tobago,0,4,0%,15.25
Mauritius,0,3,0%,5.67
Armenia,0,3,0%,6.33
Panama,0,3,0%,6.67
Dominican Republic,0,3,0%,9
Latvia,0,3,0%,9
Botswana,0,3,0%,9.33
Libya,0,3,0%,9.67
Ethiopia,0,3,0%,10.33
Palestine,0,3,0%,10.33
Venezuela,0,3,0%,11.67
St. Vincent & Grenadines,0,2,0%,2
Lebanon,0,2,0%,4
Sudan,0,2,0%,5
Grenada,0,2,0%,5.5
Albania,0,2,0%,6
Congo - Kinshasa,0,2,0%,6
Chile,0,2,0%,6.5
Northern Mariana Islands,0,2,0%,7
Qatar,0,2,0%,7.5
Uzbekistan,0,2,0%,7.5
St. Lucia,0,2,0%,8.5
Kosovo,0,2,0%,9.5
Iceland,0,2,0%,10.5
Côte d’Ivoire,0,2,0%,23.5
Aruba,0,1,0%,2
Andorra,0,1,0%,3
Jordan,0,1,0%,4
Kiribati,0,1,0%,4
Luxembourg,0,1,0%,4
Swaziland,0,1,0%,4
Tanzania,0,1,0%,4
Gambia,0,1,0%,5
Honduras,0,1,0%,5
Kazakhstan,0,1,0%,5
Macau,0,1,0%,5
Guam,0,1,0%,6
Uruguay,0,1,0%,6
Bahrain,0,1,0%,7
Isle of Man,0,1,0%,7
Montenegro,0,1,0%,7
Zimbabwe,0,1,0%,7
Yemen,0,1,0%,8
Fiji,0,1,0%,9
Guyana,0,1,0%,9
Lesotho,0,1,0%,9
Paraguay,0,1,0%,10
Greenland,0,1,0%,11
Malta,0,1,0%,11
Papua New Guinea,0,1,0%,11
Ecuador,0,1,0%,17
