Time (UTC+03:00),Clicks,Impressions,CTR,Position
2026-01-30T11:00:00,4,917,0.44%,9.7
2026-01-30T12:00:00,6,1007,0.6%,9
2026-01-30T13:00:00,2,984,0.2%,8.6
2026-01-30T14:00:00,10,1119,0.89%,9.5
2026-01-30T15:00:00,5,1407,0.36%,9.8
2026-01-30T16:00:00,10,1498,0.67%,9.4
2026-01-30T17:00:00,10,1621,0.62%,9.3
2026-01-30T18:00:00,6,1770,0.34%,9.3
2026-01-30T19:00:00,8,1731,0.46%,9
2026-01-30T20:00:00,5,1674,0.3%,9.2
2026-01-30T21:00:00,6,1524,0.39%,9.1
2026-01-30T22:00:00,9,1371,0.66%,10.9
2026-01-30T23:00:00,4,1224,0.33%,10
2026-01-31T00:00:00,6,1099,0.55%,10.5
2026-01-31T01:00:00,7,995,0.7%,11.2
2026-01-31T02:00:00,7,804,0.87%,10.6
2026-01-31T03:00:00,4,814,0.49%,10.5
2026-01-31T04:00:00,7,951,0.74%,10.6
2026-01-31T05:00:00,2,1055,0.19%,9.9
2026-01-31T06:00:00,4,936,0.43%,9.8
2026-01-31T07:00:00,2,531,0.38%,9.9
2026-01-31T08:00:00,1,192,0.52%,12.5
2026-01-31T09:00:00,0,50,0%,14.6
2026-01-31T10:00:00,0,0,0%,0
