Country,Clicks,Impressions,CTR,Position
United States,27,6801,0.4%,11.66
India,17,5396,0.32%,8.53
Singapore,6,111,5.41%,7.77
United Kingdom,5,1972,0.25%,10.33
Australia,5,398,1.26%,10.93
Turkey,4,853,0.47%,8.62
Philippines,4,799,0.5%,7.57
Finland,4,162,2.47%,7.3
Iran,4,138,2.9%,6.24
Germany,3,406,0.74%,8.57
Indonesia,3,315,0.95%,9.43
Norway,3,151,1.99%,11.52
France,3,150,2%,8.81
Romania,3,130,2.31%,8.71
South Africa,2,486,0.41%,8.3
Netherlands,2,401,0.5%,8.21
Pakistan,2,328,0.61%,8.73
Malaysia,2,194,1.03%,7.84
Ireland,2,181,1.1%,8.5
Belgium,2,142,1.41%,7.7
New Zealand,2,75,2.67%,8.45
Poland,2,75,2.67%,11.92
Myanmar (Burma),2,32,6.25%,7.16
Italy,1,184,0.54%,8.84
Thailand,1,149,0.67%,8.42
Denmark,1,138,0.72%,9.06
Spain,1,125,0.8%,9.74
Egypt,1,120,0.83%,11.44
Kenya,1,95,1.05%,8.04
Syria,1,76,1.32%,8.05
Greece,1,73,1.37%,7.86
Hungary,1,69,1.45%,8.65
Uganda,1,57,1.75%,7.35
Morocco,1,50,2%,6.82
Bulgaria,1,50,2%,8.98
Slovenia,1,45,2.22%,9.31
Jordan,1,22,4.55%,7.68
Oman,1,22,4.55%,17.95
Albania,1,17,5.88%,9.82
Canada,0,734,0%,12.73
Bangladesh,0,371,0%,8.18
Sweden,0,253,0%,8.42
Nigeria,0,233,0%,7.72
Brazil,0,131,0%,14.42
Saudi Arabia,0,119,0%,11.69
Austria,0,110,0%,7.63
United Arab Emirates,0,103,0%,7.86
Mexico,0,103,0%,9.1
Vietnam,0,101,0%,16.01
Portugal,0,93,0%,8.7
Ghana,0,89,0%,9.45
Switzerland,0,74,0%,8.14
Iraq,0,69,0%,8.23
Croatia,0,68,0%,7.09
South Korea,0,67,0%,8.39
Sri Lanka,0,58,0%,8.74
Nepal,0,54,0%,7.85
Israel,0,53,0%,13.62
Czechia,0,52,0%,7.37
Ukraine,0,46,0%,8.17
Serbia,0,44,0%,8.59
Japan,0,41,0%,7.07
Russia,0,37,0%,7.84
China,0,36,0%,8.39
Slovakia,0,34,0%,7.44
Argentina,0,32,0%,10.56
Cyprus,0,31,0%,7.81
Colombia,0,31,0%,13.84
Venezuela,0,31,0%,16.97
Zambia,0,30,0%,6.93
Cambodia,0,30,0%,7.23
Chile,0,30,0%,8.07
Hong Kong,0,30,0%,11.33
Taiwan,0,28,0%,7.04
Panama,0,28,0%,8.54
Jamaica,0,27,0%,7.74
Algeria,0,27,0%,11.22
Estonia,0,25,0%,6.76
Unknown Region,0,23,0%,8.39
Malta,0,23,0%,8.83
Lithuania,0,21,0%,8.43
Latvia,0,20,0%,10.6
Ethiopia,0,19,0%,5.26
Mauritius,0,19,0%,8.11
Honduras,0,19,0%,8.58
Kuwait,0,19,0%,9.79
Peru,0,19,0%,21.63
Lebanon,0,18,0%,7.11
Qatar,0,16,0%,6.81
Dominican Republic,0,16,0%,7.56
Laos,0,16,0%,8.94
Rwanda,0,15,0%,6.07
Tunisia,0,15,0%,6.93
Trinidad & Tobago,0,15,0%,8.4
Turkmenistan,0,15,0%,9.47
Namibia,0,14,0%,6.07
Bosnia & Herzegovina,0,13,0%,6.15
Iceland,0,13,0%,8.38
Montenegro,0,12,0%,6.42
Bahamas,0,12,0%,6.67
Belarus,0,12,0%,9.08
Georgia,0,12,0%,13.67
Zimbabwe,0,11,0%,8.73
Afghanistan,0,11,0%,8.82
Paraguay,0,11,0%,9
Papua New Guinea,0,10,0%,6
Azerbaijan,0,10,0%,7.5
Macedonia,0,10,0%,9.4
Kazakhstan,0,10,0%,9.9
Uruguay,0,10,0%,12.8
Tanzania,0,9,0%,5.89
Uzbekistan,0,9,0%,7.67
Cameroon,0,9,0%,7.78
Libya,0,9,0%,10.11
Puerto Rico,0,9,0%,11.33
Liberia,0,8,0%,7.25
Botswana,0,8,0%,8.12
Ecuador,0,8,0%,22.75
Bahrain,0,7,0%,6
Kosovo,0,7,0%,6.86
Yemen,0,7,0%,7
Costa Rica,0,7,0%,7.57
Bhutan,0,6,0%,6.5
Suriname,0,6,0%,8.33
Fiji,0,5,0%,3.4
El Salvador,0,5,0%,5.8
Greenland,0,5,0%,8.2
Malawi,0,5,0%,8.2
Swaziland,0,5,0%,9
Mongolia,0,5,0%,9.4
Jersey,0,5,0%,15.6
Cuba,0,4,0%,5.5
Brunei,0,4,0%,6.25
Armenia,0,4,0%,6.5
Côte d’Ivoire,0,4,0%,7
Curaçao,0,4,0%,7.5
Aruba,0,4,0%,8
Luxembourg,0,4,0%,9
Guyana,0,4,0%,10.75
Guatemala,0,4,0%,12.25
Sierra Leone,0,3,0%,5
Angola,0,3,0%,5.33
Mozambique,0,3,0%,6.33
Antigua & Barbuda,0,3,0%,8.33
Bolivia,0,3,0%,8.67
Lesotho,0,3,0%,9
Congo - Kinshasa,0,3,0%,9.33
St. Lucia,0,3,0%,9.33
Palestine,0,2,0%,2
Barbados,0,2,0%,3
Cayman Islands,0,2,0%,3.5
Maldives,0,2,0%,4
Guadeloupe,0,2,0%,6.5
Senegal,0,2,0%,6.5
Seychelles,0,2,0%,6.5
Benin,0,2,0%,7
Gabon,0,2,0%,7.5
Northern Mariana Islands,0,2,0%,7.5
Bermuda,0,2,0%,8
Cook Islands,0,2,0%,9
Isle of Man,0,2,0%,11
British Virgin Islands,0,2,0%,11
US Virgin Islands,0,2,0%,12.5
Kyrgyzstan,0,2,0%,20
Madagascar,0,2,0%,30.5
Guam,0,1,0%,2
Macau,0,1,0%,2
St. Martin,0,1,0%,4
Moldova,0,1,0%,4
South Sudan,0,1,0%,4
Liechtenstein,0,1,0%,5
Eritrea,0,1,0%,6
San Marino,0,1,0%,6
Sudan,0,1,0%,7
